"a
b
c",,,,,,,,,,,,
,127,300-C,,10:15:00 AM,11:15:00 AM,127. Mormon Poetry and the Prophetic Imagination: Opening (the) Faith Toward Possibility,"The prophetic imagination as a mode of consciousness disrupts mainstream cultural trends and seeks to expand individual and communal faith using language ripe with poetic rhythms and imagery. Whereas dogma intends to pin down and flatten out ideas and to narrow the conceptual frames through which people view the world, poetry relies on metaphor, nuance, ambiguity, and emotion to open audiences toward the abundance and possibilities of human knowledge, experience, relationships, organizations, and culture. In this session, five poets/editors consider the work of poetry and the prophetic imagination in the ongoing development of our Mormon faith community.",Tyler Chadwick; Dayna Patterson; Elizabeth Pinborough; Terresa Wellborn; Kathryn Knight Sonntag,"TYLER CHADWICK lives in Ogden, Utah with his wife, Jess, and their four daughters. He teaches writing at Utah Valley University and is the editor of Fire in the Pasture: 21st Century Mormon Poets (Peculiar Pages), co-editor of Dove Song: Heavenly Mother in Mormon Poetry (Peculiar Pages), and author of Field Notes on Language and Kinship (Mormon Artists Group).

DAYNA PATTERSON is the author of If Mother Braids a Waterfall (Signature Books, 2020). Her creative work has appeared or is forthcoming in POETRY, AGNI, Crab Orchard Review, Hotel Amerika, Passages North, Sugar House Review, Western Humanities Review, and Zone 3. She is the founding editor-in-chief of Psaltery & Lyre, a former managing editor of Bellingham Review, and poetry editor for Exponent II Magazine. She is a co-editor of Dove Song: Heavenly Mother in Mormon Poetry.

ELIZABETH PINBOROUGH lives in Salt Lake City. Her work has appeared in Dove Song: Heavenly Mother in Mormon Poetry, Dialogue: A Journal of Mormon Thought, Exponent II, and Fire in the Pasture: 21st Century Mormon Poets. She edited the book Habits of Being: Mormon Women’s Material Culture, published by Exponent II. She is currently researching an LDS theology of the body and working on her first book of poems.

TERRESA WELLBORN has been published in BYU Studies, Dialogue, Segullah, and several anthologies including Fire in the Pasture, Dove Song: Heavenly Mother in Mormon Poetry, and Monsters and Mormons. She has a BA in English Literature and a MLIS degree in Library and Information Science. When not on a mountaintop, she prefers to dwell in possibility.

KATHRYN KNIGHT SONNTAG is the author of The Tree at the Center (By Common Consent Press). Her poems and essays have appeared in many publications, including: Shades: The University of Utah’s Literary Magazine, Wilderness Interface Zone, Exponent II, Psaltery & Lyre, Segullah, and Dialogue: A Journal of Mormon Thought. She holds a BA in English, a BS in environmental studies, and a master’s in landscape architecture and environmental planning.",,"TYLER CHADWICK lives in Ogden, Utah with his wife, Jess, and their four daughters. He teaches writing at Utah Valley University and is the editor of Fire in the Pasture: 21st Century Mormon Poets (Peculiar Pages), co-editor of Dove Song: Heavenly Mother in Mormon Poetry (Peculiar Pages), and author of Field Notes on Language and Kinship (Mormon Artists Group).

DAYNA PATTERSON is the author of If Mother Braids a Waterfall (Signature Books, 2020). Her creative work has appeared or is forthcoming in POETRY, AGNI, Crab Orchard Review, Hotel Amerika, Passages North, Sugar House Review, Western Humanities Review, and Zone 3. She is the founding editor-in-chief of Psaltery & Lyre, a former managing editor of Bellingham Review, and poetry editor for Exponent II Magazine. She is a co-editor of Dove Song: Heavenly Mother in Mormon Poetry.

ELIZABETH PINBOROUGH lives in Salt Lake City. Her work has appeared in Dove Song: Heavenly Mother in Mormon Poetry, Dialogue: A Journal of Mormon Thought, Exponent II, and Fire in the Pasture: 21st Century Mormon Poets. She edited the book Habits of Being: Mormon Women’s Material Culture, published by Exponent II. She is currently researching an LDS theology of the body and working on her first book of poems.

TERRESA WELLBORN has been published in BYU Studies, Dialogue, Segullah, and several anthologies including Fire in the Pasture, Dove Song: Heavenly Mother in Mormon Poetry, and Monsters and Mormons. She has a BA in English Literature and a MLIS degree in Library and Information Science. When not on a mountaintop, she prefers to dwell in possibility.

KATHRYN KNIGHT SONNTAG is the author of The Tree at the Center (By Common Consent Press). Her poems and essays have appeared in many publications, including: Shades: The University of Utah’s Literary Magazine, Wilderness Interface Zone, Exponent II, Psaltery & Lyre, Segullah, and Dialogue: A Journal of Mormon Thought. She holds a BA in English, a BS in environmental studies, and a master’s in landscape architecture and environmental planning.",
,131,200-A,,11:30:00 AM,12:30:00 PM,131. When God Isn’t A White CisHet Dude,"Many post-Mormons reject God altogether after rejecting the Mormon temple god with a beard, but what other versions of God might work for the rest of us?",Mette Harrison,Mette Harrison is the author of The Bishop’s Wife and multiple essays for Huffington Post. She recently launched a new podcast The Mormon Sabbatical.,Natalie Sperry Mandelin,,
,132,200-B,,11:30:00 AM,12:30:00 PM,132. The Epistemology of Two Different Questions: What Do I Think Will Make Me Happy vs. What Is True?,"Many formerly faithful Mormons leave the church because it no longer makes them happy, or they discover it is not true, or both. They often face a spiritual crisis affecting their jobs, their relationships, their ethics, and their mental health. Sometimes they become confused and lose faith in their own ability to sort out what is good, true or real. This paper will explore ways of knowing what is good and true about the world including emotions, logic, reasoning and the evaluation of evidence. We will discuss the scientific method as a means of guiding one’s decisions and its limits.",Kathleen Kimball Melonakos,"Kathleen Kimball Melonakos is descended from Heber C. Kimball, graduated from BYU in nursing and has worked at Stanford University Medical Center. She authored the bestselling Saunders Pocket Reference for Nurses while there. She has studied liberal arts and philosophy at eight universities including the University of Toronto, Loyola University in Chicago and Cambridge University. She achieved a Master's Degree in philosophy from Stanford University in 1996. Most recently she has spent ten years researching Mormon history and has produced cutting edge information of how secret counterfeiting among early Mormon leaders affected their fate in Secret Combinations: Evidence of Early Mormon Counterfeiting 1800-1847.",,,
,133,200-C,,11:30:00 AM,12:30:00 PM,133. The Malnourished Children of Madagascar,"The Bountiful Children’s Foundation is an NGO that addresses malnutrition among Latter-day Saint and other children in the developing world. The foundation is currently serving the needs of malnourished children in over 200 congregations in 20 countries. Recently the Foundation expanded its operation to Madagascar, one of the poorest (and yet most beautiful) countries in the world. This session reports on the work of the foundation in Madagascar and the challenges of addressing children’s malnutrition in an increasingly global church.",Bob Rees; Gloria Rees,"Bob Rees is co-founder and current vice-president of the Bountiful Children's Foundation. Over the past decade he has worked on behalf of malnourished children in Guatemala, the Philippines, Colombia, Haiti, Kiribati and, most recently, in Madagascar.

Gloria Gardner Rees has studied with both Kessler and Thomas McConkie in the IPP Institute, Lower Lights, and Pacific Integral’s Generating Transformative Change (GTC). Teaching in China, India and Nepal, plus travel in the Philippines, Spain and Madagascar have fed her awareness—seeing others where they are. She is the mother of six.",,,
,134,200-D,,11:30:00 AM,12:30:00 PM,134. Bringing Book of Mormon Artifacts to Augmented Reality,"Through the power of augmented reality, Book of Mormon artifacts come to life! Learn how the gold plates, the Urim and Thummim (breastplate and spectacles) and other artifacts were modeled in 3D using historical research and eyewitness accounts. See how these and other artifacts can be viewed on your mobile device as if they existed in the real world.",Steve Otteson,"Steve Otteson is a software developer living in Redmond, Washington. His interests outside of software include Mormon history, Biblical academics and early Christianity. Combining his interests in 3D software and Mormon history resulted in “Book of Mormon AR,” a mobile application for viewing and interacting with Book of Mormon artifacts in augmented reality.",Mark Petersen,,
,135,300-A,,11:30:00 AM,12:30:00 PM,135. Missionaries TO the Mormons: NOW’s ERA Missionary Project,"In the summer of 1981, the National Organization for Women sent feminist “missionaries” to Utah to advocate for the Equal Rights Amendment. This presentation tells this never-before-published story based on NOW’s institutional records from the Harvard Schlesinger Library. NOW was upset at the LDS Church’s participation against the ERA and recruited and trained women and men to go door to door in the major cities of Utah on a program modeled after the LDS missionary program. Their purpose: to demonstrate and increase Utah support for the ERA and to reveal the LDS Church’s opposition in the national press.",Bill Connors,"Bill Connors recently completed a Master of Theological Studies degree at Harvard Divinity School with an area of focus in American religious history and Mormon studies. His Master's thesis from BYU won the MHA award for best dissertation or thesis. Professionally, Bill is a consultant in the field of nonprofit and education fundraising.",Laurie Vertner,,
,136,300-B,,11:30:00 AM,12:30:00 PM,"136. Burned Over, Burned Again, YET Never Burned Out: Four Perspectives on the Continuing Conversion Catastrophe","Two hundred years after Eric Hoffer’s True Believers found permanent and repetitive “purchase” along the fertile banks of what became the Erie Canal (before, during, & after its construction), the fires of faith (and subsequent “conversion”) simply would not stop re-kindling. Multiple movements that are still pulsing energetically today sprung up there. This presentation explores four contrasting views of why and draws relevant links to today’s polarized US Milieu/Melee. This session gently invites each attendee to ponder their own “burnings within” by providing attendees with a method to answer: “What’s in my conversion wallet?”",Russ Osmond,"Russell L. Osmond’s doctoral dissertation (Syracuse University, 1979) contained an in-depth literature review of “Why Men Rebel” (& Convert). It developed a quantitative model for identifying who might most lean toward becoming a terrorist (a.k.a. “True Believer”). His advisor, Dr Michael Barkun, published the classic studies of Millenarianism Conversions across the centuries of Western Civilization.",,,
,137,300-C,,11:30:00 AM,12:30:00 PM,"137. Grace, Works, Devotion...and Video Games?","Each year, the population of “nones,” disenfranchised from conventional religion, increases. But the decline in traditional religions does not result in a lack of appreciation for religious concepts like works, devotion, and self-improvement. The rise of video gaming represents a new interactive model for myth-making, the practice of works, and devotion. By looking at age-old religious tensions (such as the fraught relationship between works and grace) through the seemingly secular lens of games like Celeste, Cuphead, and Sekiro, we can gain new insights about these eternal questions.",Andrew Spriggs,"George Andrew Spriggs is a terrible gamer (that is, someone that more hardcore gamers might call a “filthy casual fake gamer”) and a nonbelieving, non-practicing cultural Mormon (that is, someone that true believing members of the LDS Church might call a “filthy casual fake Mormon” if they used gamer vocabulary.) Notwithstanding these deficits, he still enjoys discussing video games through musical cover stories on YouTube, and discussing Mormonism through blog posts, Facebook, and Reddit discussions.",Rebecca Smyrniotopoulos,,
,141,,,12:30:00 PM,2:00:00 PM,141. Lunch,,,,,,
,142,,,12:45:00 PM,1:45:00 PM,142. Utah Politics: The Elephant in the Room,"Utah became a Republican state because Latter-day Saints disagreed with changes brought by the sexual revolution. Abortion, pornography, gay marriage, as well as the decline of traditional families and the rise of out-of-marriage births led them to Republicanism; Utah non-Mormons, facing a seemingly permanent religious-political majority, became Democrats. LDS adherence to the old morality also affected Utah demography, making the state the youngest and most married. Decker’s new book, Utah Politics, changes the story of Utah history and shows how the state assimilated until the mid-1970s, when political and demographical changes reoccurred. Decker offers a new look at Utah history, politics, and government, one that highlights the importance of Latter-day Saint moral and family differences.",Rod Decker,"Rod Decker is known for his reporting on Utah’s KUTV Channel 2, as well as for his column and editorials in the Deseret News. A graduate of the University of Utah, he attended graduate school at the University of Chicago and spent a year at Harvard as a Nieman Fellow before enlisting as a military intelligence officer during the Vietnam War. His first book, An Environment for Murder, turned his intimate acquaintance with sagebrush politics into a page-turning mystery.",Devery Anderson,,
,143,,,12:45:00 PM,1:45:00 PM,143. Book Signing TBA,,,,,,
,144,300-A,,12:45:00 PM,1:45:00 PM,144. Film Screening: Straws,"A colorful straw history animation narrated by Oscar winner Tim Robbins, Straws leaves audiences with a clear understanding of the problems caused by plastic pollution and empowers individuals to be part of the solution. The film last 30 minutes.",,,Blair M. White,,
,151,200-A,,2:00:00 PM,3:30:00 PM,151. Mayor of Hildale: Short Creek's First Female Leader,"Donia Jessop, the first woman mayor of Hildale and a driving force behind the Utah town's ongoing transition away from its notorious past will speak about her experiences in the last several years, how her work has impacted herself and her community.",Donia Jessop,"Donia Jessop, mayor of Hildale, Utah, was born and raised in Hildale/Colorado City and from birth has had a love and devotion to her hometown and considered everyone in town her friend. She graduated from CCUSD, married the love of her life, Joe, and together over the next 30 years they raised a beautiful family,",Nadine McCombs Hansen,,
,152,200-B,,2:00:00 PM,3:30:00 PM,152. Movement Toward A Spectrum of Belief,"These essays will show how the future of Mormonism exists through the creation of what we term a “spectrum of belief,” arguing for more inclusivity within Mormonism. Perkins’s essay argues for inclusivity for LGBTQ+ communities without direct authority from LDS leadership. Peck’s essay incorporates existentialism as a way to bring about a spectrum of belief through subjectivity and an emphasis on meaningful choice. Finally, Bond discusses first the portrait of a “none,” and argues for greater inclusivity for spiritual diaspora within a Mormon context.",Kristin Perkins; Chris Peck; Kyle Bond,Kristin Perkins is pursuing a master’s degree at the University of Texas at Austin.,Jen Perlmutter Tanner,,
,,,,,,,,,,,,
,,,,,,,,,"Chris Peck has a master’s degree in education and teaches English in Orem, Utah. He is a published essayist and poet.",,,
,,,,,,,,,,,,
,,,,,,,,,"Kyle Bond is an English teacher in Orem, and will receive his master’s degree in English this fall.",,,
,153,200-C,,2:00:00 PM,3:30:00 PM,153. Church for the Unchurched Revisited,"For the past three years, John Hamer has built up a new community at Toronto Centre Place committed to a five-point mission: (1) invite everyone into community, (2) continually learn and grow, (3) abolish poverty and end needless suffering, (4) pursue peace and justice, and (5) live life meaningfully together. Regular participants at Centre Place include a vast diversity of backgrounds and beliefs from Mormon to Protestant, Ethiopian Orthodox to Quaker, from Isma’ili to Sunni Muslim, as well as Jews, Buddhists, Hindus, agnostics, humanists, and atheists. Hamer will outline the formula for the Toronto Centre Place and Creating Connection communities.",John Hamer,"John Hamer serves as the pastor of the Toronto Congregation in Community of Christ and was the co-creator of the congregation’s Toronto Centre Place facility. He serves in the priesthood office of Seventy in Community of Christ, and is the president of Sionito, the church’s Toronto-based social housing charity.",Roy Schmidt,,
,154,200-D,,2:00:00 PM,3:30:00 PM,154. A Reading of the Winning Essays from the 2018 Eugene England Memorial Personal Essay Contest,The winners of the 2018 Eugene England Memorial Personal Essay Contest will come together to read their essays:,Susan M. Hinckley; Dayna Patterson; Tyler Chadwick,"SUSAN M. HINCKLEY is an Arizona artist/writer, and a graduate of the University of Utah. She enjoys desert living, creating the webcomic Gray Area, moderating Waters of Mormon Facebook group, and endless examination of both her faith and her lack thereof.",Brent Flamm,,
,,,,,,,,,,,,
,,,,,,,"1st Place: “The Process of Staying,” by Susan M. Hinckley. For many people, it looks like Hinckley, with her independent ways, is in the process of leaving the LDS Church. But she argues that she’s actually in the process of staying.",,"DAYNA PATTERSON is the author of If Mother Braids a Waterfall (Signature Books, 2020). Her creative work has appeared or is forthcoming in POETRY, AGNI, Crab Orchard Review, Hotel Amerika, Passages North, Sugar House Review, Western Humanities Review, and Zone 3. She is the founding editor-in-chief of Psaltery & Lyre, a former managing editor of Bellingham Review, and poetry editor for Exponent II Magazine. She is a co-editor of Dove Song: Heavenly Mother in Mormon Poetry.",,,
,,,,,,,,,,,,
,,,,,,,"2nd Place: “Fledglings,” by Dayna Patterson. Raising daughters in the LDS Church, and in America, is a difficult undertaking. Among the tools one needs to succeed are seagulls, Star Trek, and King Lear.",,"TYLER CHADWICK lives in Ogden, Utah with his wife, Jess, and their four daughters. He teaches writing at Utah Valley University and is the editor of Fire in the Pasture: 21st Century Mormon Poets (Peculiar Pages), co-editor of Dove Song: Heavenly Mother in Mormon Poetry (Peculiar Pages), and author of Field Notes on Language and Kinship (Mormon Artists Group).",,,
,,,,,,,,,,,,
,,,,,,,"Honorable Mention: “The Gods Step Out of Their Hiding Place: Meditations on Divine Presence,” by Tyler Chadwick. A flock of doves, Walt Whitman, and Emma Lou Thayne come together in this meditation on how words guide the soul and the community it is part of.",,,,,
,155,300-A,,2:00:00 PM,3:30:00 PM,155. Across the Aisle: Communicating Through Differences in Faith and Belief,"This session is a discussion group centered on the theme of how to engage with people whose faith/belief is different than your own. Both active, believing Mormons and post/ex/etc-Mormons will be represented. This session will be a discussion with ample participation from the attendees, with the panelists mostly there to help guide the conversation and share their own insights.",Nicholas R Stewart; Anthony Miller; Matt Harward; Ian Harris,"ANTHONY D. MILLER, is a business owner and education enthusiast with graduate degrees in business and in financial services. After a lifetime of faithful LDS Church activity, Anthony traversed an acute faith crisis that began after stumbling across the Gospel Topics Essays while searching for resources to support his adult gay son. Anthony frequently contributes to progressive and post-Mormon communities online and in-person. He blogs at unpackingambiguity.com.",LaNeece Flamm,,
,,,,,,,,,,,,
,,,,,,,,,"Nicholas R. Stewart has a masters of urban planning from San Jose State. He grew up in the Mormon Church, got married in the Los Angeles temple, and served in four elders quorum presidencies. He is no longer an active, believing member of the LDS Church.",,,
,156,300-B,,2:00:00 PM,3:30:00 PM,156. John Pierce Hawley and the Temple at Zodiac Texas 1849-1851,This presentation will give an overview of temple development—from Kirtland to Nauvoo to Zodiac and to the Endowment House. The center of the presentation will be a contextualization of Hawley's insight into the changing of the Endowment and other ordinances through those years.,Melvin C. Johnson,"MELVIN C. JOHNSON is the author of Polygamy on the Pedernales: Lyman Wight’s Mormon Villages in Antebellum Texas, 1845-1858, and The Life & Times of John Pierce Hawley: a Mormon Ulysses of the American West.",Andrew Hamilton,,
,157,300-C,,2:00:00 PM,3:30:00 PM,157. The Religious Case for Environmental Stewardship,"Joseph Smith’s first visionary experience with the Divine was occasioned by pondering the swirling stars, radiant sun, and powerful Earth. Early Mormonism was tied directly to the land, be it the banks of the Susquehanna, Nauvoo, or the Salt Lake Valley. Sacred Land is an idea rooted deeply within the Mormon psyche. But that connection seems to be waning in modern Mormonism. This panel will discuss and explore the idea of Sacred Land within Mormonism— including rumination on how Mormonism has lost this land-ethic and why Mormonism needs to reclaim that land-ethic to confront both, our individual role in anthropogenic climate change, and to create a faith worthy of a more sustainable future",Rachael Lauritzen,"Søren Simonsen is the director of the Jordan River Commission, and an urban planner, architect, educator, community-builder and social entrepreneur. Over the past three decades, including 17 years of public service as an appointed and elected official, he has worked to create sustainable places and livable communities in Utah and the West.",Madison Daniels,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,"Madison Daniels is the Faith Community Organizer for Southern Utah Wilderness Alliance based in Salt Lake City, Utah. He loves dirty feet, hugging trees, and gardening. He has a degree in environmental humanities from BYU.",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,"Rachael Lauritzen is a fiber artist, a writer, a Waldorf handwork teacher, and a dedicated environmentalist. In 2005, she received the Individual Recycler of the Year Award from the Utah Recycling Coalition for organizing a city recycling program; this effort led to her being a city planning commissioner for eight years. She has an English degree from Brigham Young University and is a board member for the Salt Lake Knitting Guild.",,,
,161,200-A,,3:45:00 PM,4:45:00 PM,161. The Primary Colors and My Duct-taped Shelf,"Using my favorite Primary songs as a framework for growth, I’ve learned to live without fear, trust my gut, be an advocate for social justice, heal from crippling depression, and recognize that there are many spiritual paths and that Mormonism is just one possible path to the top of the mountain. Using Primary lyrics, I will share stories of courage from friends I have known, especially among the LGBTQ community. My own prompting to do “what is right, let the consequence follow” led me to become a proactive ally for the LGBTQ community, and start an Affirmation-type group in Cache Valley. “Nature is my church, Love is my religion.”",Carole Thayne Warburton,"Carole Thayne has a BFA and BS degree in art education and English. She is a novelist with five published novels from Covenant Communications and Walnut Springs, a wife, mother, and blogger.",,,
,162,200-B,,3:45:00 PM,4:45:00 PM,162. The Only True and Living Church - A Case of Mood Confusion,A subjunctive statement in the Lord’s voice about the “only true and living church” (D&C 1:30) has been widely misunderstood as a statement of fact. Statements made as hopes or possibilities can be misunderstood as declarations. Mood confusion occurs when a statement made in one mood is understood to have been made in another mood and causes us to misunderstand God’s meaning and to misquote God. A basic understanding of the subjunctive mood can prevent us from mistaking an invitation from God for a divine endorsement of our present state before him.,McKay Lyman Platt,"McKay Platt is a medical doctor and surgeon, president of the Amasa Mason Lyman Historical Society (2003–2008), and author of Hear The Words of the Book-Big Precepts in the Book of Mormon You May Have Missed. He is a lifetime member of the LDS Church and served in eight bishoprics, three times as bishop.",Jennifer Koski,,
,163,200-C,,3:45:00 PM,4:45:00 PM,"163. Smith, Smith, Smithereens","The powerful Restorationist movement of the 19th century, couched in a fervent eschatological view of an eminent Second Coming of Christ, helped establish the notion in thousands of earnest hearts and minds that doctrinal and practical reform was needed as a means to help usher in Jesus’ return. Most churches focused on any level of restoration readily accepted the standard Catholic/Protestant view of end times without much resistance or alternative view. After nearly 2000 years American Evangelicalism (along with Roman Catholicism, Orthodoxy and Mormonism) continues to perpetuate the idea that Jesus’ return is eminent despite a preponderance of evidence to the contrary.",,"Shawn McCraney has taught over 700 ninety-minute verse-by-verse studies through the New Testament and has hosted over 1000 hour-long weekly programs dealing with religion. He is working on a new translation of the Apostolic Record. He is married to Mary and is the father of three daughters and lives in Salt Lake City, Utah.",,,
,164,200-D,,3:45:00 PM,4:45:00 PM,164. Faith Crisis as Disorienting Dilemma: Road to Transformation,"As greater numbers of believers suffer a faith crisis, better tools are needed to help with understanding and recovery. Mezirow’s Ten Phases of Transformative Learning—an adult learning theory—can assist in alleviating pain by guiding reflection and an exploration of new possibilities. Indeed, with a healthy process of acquiring new knowledge, identity, and relationships, transformation can be transcendent.",Paul Sparks,"Paul Sparks directs the Learning Technologies EdD program and is former chair of the award-winning MA in Learning Technology at Pepperdine University. He leads courses in learning theory, social media and design, and guides delegations to D.C., Singapore and Dubai for global perspectives and policy. His past lives include stints in aerospace, Internet startups, and K-12 math.",Rebecca Smyrniotopoulos,,
,165,300-A,,3:45:00 PM,4:45:00 PM,165. Babel'd: A Contemporary Performance,"Babel’d is an exploration of queerness, Mormonism, community, and memory through solo performance. Centering around a game of giant jenga, the audience pulls blocks randomly that trigger scenes; from questions asked while blowing bubbles, to a monologue by the ghost of Morris Young. Babel’d uses texts and visuals from interviews, anecdote, scripture, and Mormon history to ask: where do “peculiar and queer intersect?” While grounded in queer theory and Mormon history, this presentation uses performance epistemology to assert an alternative way of knowing— a knowing that comes through the lived experiences of queer Mormons in Mormon communities.",Kristin Perkins,Kristin Perkins has an MA in performance as public practice from the University of Texas at Austin. Her thesis focuses on the representations of LGBTQ+ Mormons in American theatre. She was the 2017 recipient of the Susa Young Gates Award for her undergraduate thesis. She was the recipient of the Mayhew Playwriting Award for excellence in playwriting for three consecutive years.,Glenn Ostlund,,
,166,300-B,,3:45:00 PM,4:45:00 PM,166. Sex Abuse and Resources: What Options Are Available for Victims,Bowers and Whiteley will speak to the current state of sexual abuse within the LDS Church. A brief presentation will be made regarding the current systems put in place by the Church to support survivors and how these systems can be problematic at times. The presenters will review how to access resources that help survivors. The presentation will include a question and answer period.,Amber Whiteley; Chad Bowers,"Chad Bowers is a graduate of the University of Washington College of Arts and Sciences and the University of Utah SJ Quinney College of Law. He maintains a law practice in southern Nevada. Since the mid 2000s Bowers has represented clients who have survived sexual abuse, including a as co-counsel in a number of matters with Tim Kosnoff against The Church of Jesus Christ of Latter-day Saints.",Paula Baker,,
,,,,,,,,,,,,
,,,,,,,,,Amber Choruby Whiteley has a PhD in counseling psychology from the University of Utah. She conducted her dissertation on the healing processes of Latter-day Saint sexual abuse survivors. She is completing her doctoral internship at the University of Utah Counseling Center.,,,
